Epoch 368 | Loss 6.8871
Epoch 369 | Loss 6.8815
Epoch 370 | Loss 6.8905
Epoch 371 | Loss 6.8800
Epoch 372 | Loss 6.8825
Epoch 373 | Loss 6.8773
Epoch 374 | Loss 6.8816
Epoch 375 | Loss 6.8779
Epoch 376 | Loss 6.8744
Epoch 377 | Loss 6.8799
Epoch 378 | Loss 6.8718
Epoch 379 | Loss 6.8739
Epoch 380 | Loss 6.8792
Epoch 381 | Loss 6.8754
Epoch 382 | Loss 6.8729
Epoch 383 | Loss 6.8659
Epoch 384 | Loss 6.8660
Epoch 385 | Loss 6.8699
Epoch 386 | Loss 6.8667
Epoch 387 | Loss 6.8621
Epoch 388 | Loss 6.8698
Epoch 389 | Loss 6.8568
Epoch 390 | Loss 6.8542
Epoch 391 | Loss 6.8596
Epoch 392 | Loss 6.8588
Epoch 393 | Loss 6.8581
Epoch 394 | Loss 6.8574
Epoch 395 | Loss 6.8514
Epoch 396 | Loss 6.8406
Epoch 397 | Loss 6.8576
Epoch 398 | Loss 6.8467
Epoch 399 | Loss 6.8523
Epoch 400 | Loss 6.8405
Epoch 401 | Loss 6.8517
Epoch 402 | Loss 6.8401
Epoch 403 | Loss 6.8464
Epoch 404 | Loss 6.8349
Epoch 405 | Loss 6.8177
Epoch 406 | Loss 6.8413
Epoch 407 | Loss 6.8294
Epoch 408 | Loss 6.8244
Epoch 409 | Loss 6.8248
Epoch 410 | Loss 6.8347
Epoch 411 | Loss 6.8021
Epoch 412 | Loss 6.8314
Epoch 413 | Loss 6.8072
Epoch 414 | Loss 6.7999
Epoch 415 | Loss 6.8088
Epoch 416 | Loss 6.7959
Epoch 417 | Loss 6.8060
Epoch 418 | Loss 6.7849
Epoch 419 | Loss 6.8059
Epoch 420 | Loss 6.7878
Epoch 421 | Loss 6.7789
Epoch 422 | Loss 6.7860
Epoch 423 | Loss 6.7911
Epoch 424 | Loss 6.7790
Epoch 425 | Loss 6.7732
Epoch 426 | Loss 6.7703
Epoch 427 | Loss 6.7621
Epoch 428 | Loss 6.7555
Epoch 429 | Loss 6.7565
Epoch 430 | Loss 6.7527
Epoch 431 | Loss 6.7321
Epoch 432 | Loss 6.7440
Epoch 433 | Loss 6.7398
Epoch 434 | Loss 6.7560
Epoch 435 | Loss 6.7394
Epoch 436 | Loss 6.7309
Epoch 437 | Loss 6.7353
Epoch 438 | Loss 6.7417
Epoch 439 | Loss 6.7121
Epoch 440 | Loss 6.7414
Epoch 441 | Loss 6.7100
Epoch 442 | Loss 6.7194
Epoch 443 | Loss 6.7181
Epoch 444 | Loss 6.6740
Epoch 445 | Loss 6.7019
Epoch 446 | Loss 6.6837
Epoch 447 | Loss 6.6687
Epoch 448 | Loss 6.6675
Epoch 449 | Loss 6.6775
Epoch 450 | Loss 6.6784
Epoch 451 | Loss 6.6962
Epoch 452 | Loss 6.6880
Epoch 453 | Loss 6.6498
Epoch 454 | Loss 6.6481
Epoch 455 | Loss 6.6066
Epoch 456 | Loss 6.6456
Epoch 457 | Loss 6.6283
Epoch 458 | Loss 6.6173
Epoch 459 | Loss 6.6321
Epoch 460 | Loss 6.6295
Epoch 461 | Loss 6.5945
Epoch 462 | Loss 6.6007
Epoch 463 | Loss 6.6126
Epoch 464 | Loss 6.5749
Epoch 465 | Loss 6.5726
Epoch 466 | Loss 6.5775
Epoch 467 | Loss 6.5413
Epoch 468 | Loss 6.5689
Epoch 469 | Loss 6.5547
Epoch 470 | Loss 6.5333
Epoch 471 | Loss 6.5628
Epoch 472 | Loss 6.5814
Epoch 473 | Loss 6.5593
Epoch 474 | Loss 6.5397
Epoch 475 | Loss 6.5296
Epoch 476 | Loss 6.5017
Epoch 477 | Loss 6.5158
Epoch 478 | Loss 6.4952
Epoch 479 | Loss 6.4735
Epoch 480 | Loss 6.5031
Epoch 481 | Loss 6.5003
Epoch 482 | Loss 6.4750
Epoch 483 | Loss 6.4788
Epoch 484 | Loss 6.4368
Epoch 485 | Loss 6.4269
Epoch 486 | Loss 6.4725
Epoch 487 | Loss 6.4430
Epoch 488 | Loss 6.3862
Epoch 489 | Loss 6.3896
Epoch 490 | Loss 6.4302
Epoch 491 | Loss 6.3488
Epoch 492 | Loss 6.4348
Epoch 493 | Loss 6.3853
Epoch 494 | Loss 6.3720
Epoch 495 | Loss 6.3824
Epoch 496 | Loss 6.4169
Epoch 497 | Loss 6.3384
Epoch 498 | Loss 6.3385
Epoch 499 | Loss 6.3621
Epoch 500 | Loss 6.3449
Save model after epoch 500 as ckpt_500.pt.
Epoch 501 | Loss 6.3527
Epoch 502 | Loss 6.3386
Epoch 503 | Loss 6.2480
Epoch 504 | Loss 6.2855
Epoch 505 | Loss 6.2991
Epoch 506 | Loss 6.3074
Epoch 507 | Loss 6.2792
Epoch 508 | Loss 6.2814
Epoch 509 | Loss 6.2195
Epoch 510 | Loss 6.1905
Epoch 511 | Loss 6.2119
Epoch 512 | Loss 6.1633
Epoch 513 | Loss 6.1880
Epoch 514 | Loss 6.1752
Epoch 515 | Loss 6.2291
Epoch 516 | Loss 6.1791
Epoch 517 | Loss 6.2425
Epoch 518 | Loss 6.1849
Epoch 519 | Loss 6.2264
Epoch 520 | Loss 6.2294
Epoch 521 | Loss 6.1704
Epoch 522 | Loss 6.1803
Epoch 523 | Loss 6.1636
Epoch 524 | Loss 6.1016
Epoch 525 | Loss 6.1448
Epoch 526 | Loss 6.1188
Epoch 527 | Loss 6.0727
Epoch 528 | Loss 6.0554
Epoch 529 | Loss 6.1077
Epoch 530 | Loss 5.9951
Epoch 531 | Loss 6.0497
Epoch 532 | Loss 6.0475
Epoch 533 | Loss 5.9619
Epoch 534 | Loss 6.0801
Epoch 535 | Loss 6.0288
Epoch 536 | Loss 6.0064
Epoch 537 | Loss 6.0233
Epoch 538 | Loss 5.9687
Epoch 539 | Loss 6.0242
Epoch 540 | Loss 5.9618
Epoch 541 | Loss 5.8565
Epoch 542 | Loss 6.0103
Epoch 543 | Loss 5.9594
Epoch 544 | Loss 5.9221
Epoch 545 | Loss 5.9267
Epoch 546 | Loss 5.9680
Epoch 547 | Loss 5.9207
Epoch 548 | Loss 5.8296
Epoch 549 | Loss 5.8512
Epoch 550 | Loss 5.8643
Epoch 551 | Loss 5.9665
Epoch 552 | Loss 5.9084
Epoch 553 | Loss 5.8104
Epoch 554 | Loss 5.8142
Epoch 555 | Loss 5.7999
Epoch 556 | Loss 5.8037
Epoch 557 | Loss 5.8431
Epoch 558 | Loss 5.7997
Epoch 559 | Loss 5.8830
Epoch 560 | Loss 5.7552
Epoch 561 | Loss 5.7949
Epoch 562 | Loss 5.7465
Epoch 563 | Loss 5.7271
Epoch 564 | Loss 5.8060
Epoch 565 | Loss 5.8098
Epoch 566 | Loss 5.7509
Epoch 567 | Loss 5.7033
Epoch 568 | Loss 5.7425
Epoch 569 | Loss 5.6482
Epoch 570 | Loss 5.7550
Epoch 571 | Loss 5.6908
Epoch 572 | Loss 5.6616
Epoch 573 | Loss 5.6105
Epoch 574 | Loss 5.6356
Epoch 575 | Loss 5.6728
Epoch 576 | Loss 5.7981
Epoch 577 | Loss 5.6195
Epoch 578 | Loss 5.6159
Epoch 579 | Loss 5.6678
Epoch 580 | Loss 5.5693
Epoch 581 | Loss 5.5687
Epoch 582 | Loss 5.5972
Epoch 583 | Loss 5.6019
Epoch 584 | Loss 5.6035
Epoch 585 | Loss 5.5666
Epoch 586 | Loss 5.5455
Epoch 587 | Loss 5.5627
Epoch 588 | Loss 5.4618
Epoch 589 | Loss 5.4914
Epoch 590 | Loss 5.4785
Epoch 591 | Loss 5.4604
Epoch 592 | Loss 5.5174
Epoch 593 | Loss 5.4960
Epoch 594 | Loss 5.4392
Epoch 595 | Loss 5.5638
Epoch 596 | Loss 5.4613
Epoch 597 | Loss 5.4418
Epoch 598 | Loss 5.4085
Epoch 599 | Loss 5.5029
