Loading dataset: roli
  0%|          | 0/184 [00:00<?, ?it/s] 11%|█▏        | 21/184 [00:00<00:00, 200.71it/s] 23%|██▎       | 42/184 [00:00<00:01, 103.96it/s] 34%|███▍      | 63/184 [00:00<00:00, 134.28it/s] 44%|████▍     | 81/184 [00:00<00:00, 130.95it/s] 55%|█████▌    | 102/184 [00:00<00:00, 151.91it/s] 65%|██████▍   | 119/184 [00:00<00:00, 134.47it/s] 76%|███████▌  | 139/184 [00:01<00:00, 132.08it/s] 88%|████████▊ | 161/184 [00:01<00:00, 151.52it/s] 99%|█████████▉| 183/184 [00:01<00:00, 167.17it/s]100%|██████████| 184/184 [00:01<00:00, 146.98it/s]
  0%|          | 0/50 [00:00<?, ?it/s] 24%|██▍       | 12/50 [00:00<00:00, 77.13it/s] 40%|████      | 20/50 [00:00<00:00, 72.72it/s] 82%|████████▏ | 41/50 [00:00<00:00, 123.44it/s]100%|██████████| 50/50 [00:00<00:00, 118.38it/s]
Start training.
Epoch 365 | Loss 6.6518
Epoch 366 | Loss 6.6862
Epoch 367 | Loss 6.6704
Epoch 368 | Loss 6.6524
Epoch 369 | Loss 6.6684
Epoch 370 | Loss 6.6856
Epoch 371 | Loss 6.6825
Epoch 372 | Loss 6.6742
Epoch 373 | Loss 6.6737
Epoch 374 | Loss 6.6806
Epoch 375 | Loss 6.6821
Epoch 376 | Loss 6.6730
Epoch 377 | Loss 6.6676
Epoch 378 | Loss 6.6891
Epoch 379 | Loss 6.6761
Epoch 380 | Loss 6.6860
Epoch 381 | Loss 6.6707
Epoch 382 | Loss 6.6848
Epoch 383 | Loss 6.6779
Epoch 384 | Loss 6.6875
Epoch 385 | Loss 6.6901
Epoch 386 | Loss 6.6920
Epoch 387 | Loss 6.6819
Epoch 388 | Loss 6.6752
Epoch 389 | Loss 6.6902
Epoch 390 | Loss 6.6976
Epoch 391 | Loss 6.6991
Epoch 392 | Loss 6.7080
Epoch 393 | Loss 6.6819
Epoch 394 | Loss 6.6949
Epoch 395 | Loss 6.6967
Epoch 396 | Loss 6.7021
Epoch 397 | Loss 6.7007
Epoch 398 | Loss 6.7015
Epoch 399 | Loss 6.7011
Epoch 400 | Loss 6.7025
Epoch 401 | Loss 6.7025
Epoch 402 | Loss 6.7099
Epoch 403 | Loss 6.7065
Epoch 404 | Loss 6.7097
Epoch 405 | Loss 6.7175
Epoch 406 | Loss 6.7203
Epoch 407 | Loss 6.7257
Epoch 408 | Loss 6.7012
Epoch 409 | Loss 6.7215
Epoch 410 | Loss 6.7329
